Id,SalePrice_est
1461,115077.31800663058
1462,149781.98824959158
1463,175214.67818968993
1464,182532.8643659227
1465,200279.22185488272
1466,174049.6818755655
1467,183516.32980238792
1468,162186.50797024707
1469,212246.29058421365
1470,116920.85190203553
1471,184105.07914778366
1472,94744.97771389903
1473,89464.3954296761
1474,144082.41876929058
1475,108876.60212200116
1476,375537.8599487366
1477,250300.9243372272
1478,317788.7283435241
1479,305105.3300098019
1480,459520.8016557909
1481,314082.20924075413
1482,211073.66068638128
1483,177218.89734070815
1484,155137.6453657362
1485,188155.9420207051
1486,198778.75413550664
1487,338323.60774640815
1488,216005.37010658986
1489,193548.76582458345
1490,249738.8141780225
1491,194677.2144484347
1492,94663.37297558352
1493,215084.6155115379
1494,307286.09882723726
1495,296851.3034460691
1496,238819.48620753246
1497,183884.30644266575
1498,156545.07362377038
1499,163823.41548651108
1500,154457.81774947222
1501,190331.0327453135
1502,148053.79377052386
1503,265299.8113089201
1504,234716.89962701264
1505,219020.79109235285
1506,190618.6452870627
1507,248948.1975417437
1508,197157.35552365414
1509,164183.45098855684
1510,137721.75473777892
1511,149631.03780869732
1512,179880.10755561953
1513,163310.56196102523
1514,149976.27004495604
1515,214331.36658839032
1516,165547.42820968886
1517,176690.17408902553
1518,125802.37981635518
1519,212346.9350944535
1520,122725.85722685655
1521,122018.77392266969
1522,196412.19489923568
1523,106740.50831136452
1524,121710.90362913265
1525,111326.99882559999
1526,90510.43747682015
1527,102131.61431172534
1528,147741.25657601727
1529,137929.84486596446
1530,203281.39970070255
1531,127294.48996009266
1532,109458.92808322211
1533,159175.72913023824
1534,128940.64791832516
1535,155096.803404069
1536,105844.82742175131
1537,36884.13110071028
1538,157062.8536403419
1539,214043.13263691217
1540,114050.94691575752
1541,128937.35109276927
1542,147490.77561733843
1543,180956.17376363068
1544,86325.1010070057
1545,118675.51387921738
1546,137327.92650855938
1547,132600.4220883964
1548,142820.61471708486
1549,116145.38484921261
1550,133988.04564284027
1551,112914.85911295748
1552,143657.93478513457
1553,161617.60343099403
1554,122858.99730652983
1555,161493.9482065197
1556,72164.76082031043
1557,105119.0892693616
1558,95729.89478973407
1559,94367.813137253
1560,127614.06247520132
1561,125572.8396574595
1562,125100.59364335079
1563,118343.24366467183
1564,161860.9540559073
1565,145825.20549944497
1566,244457.06025181993
1567,72998.37131381554
1568,219371.1151141952
1569,120172.28981030588
1570,141696.54437242766
1571,110623.91604711842
1572,144380.73272864977
1573,251252.90622748612
1574,128198.00594154406
1575,244475.37051499274
1576,225627.05183419213
1577,177035.22553754988
1578,142227.71189411436
1579,145259.2674030803
1580,190094.12995005187
1581,156789.9897764026
1582,129203.51146061264
1583,266201.0321849546
1584,224707.50321545737
1585,138787.3584296092
1586,42390.97641121359
1587,107244.92390681375
1588,166333.85740977322
1589,104840.58134793324
1590,134021.79939667296
1591,89508.40094772409
1592,119422.21136602653
1593,127390.85516319312
1594,146356.13158225815
1595,126168.34833304358
1596,225288.8733364053
1597,188029.35089183276
1598,213978.1777220365
1599,191336.58455516433
1600,159944.63286343808
1601,40181.35622760201
1602,117185.90223684037
1603,76311.73511368253
1604,295113.04858799744
1605,232664.25419059728
1606,158278.506616286
1607,169580.70147929023
1608,204542.1668078408
1609,183353.24220336607
1610,158015.78249712326
1611,136413.318475889
1612,192459.94614376238
1613,160429.84344033652
1614,143941.9764009262
1615,91991.40234280002
1616,72582.11464675603
1617,83256.54160315653
1618,113383.885661926
1619,141688.6206876439
1620,170099.24317179172
1621,137868.6921951772
1622,141492.29583451163
1623,263342.73285512126
1624,211924.2403518175
1625,106277.45715646232
1626,172822.31915625348
1627,183946.85369613345
1628,279440.4344398916
1629,179627.255088571
1630,340810.31616777123
1631,220263.76283226506
1632,238442.04296701512
1633,176946.01843268453
1634,189086.1767566916
1635,176125.96185215298
1636,147559.12631962614
1637,194376.88116545512
1638,199587.41054703985
1639,185945.1700911037
1640,254279.03682377245
1641,191432.4300959606
1642,256110.6841565466
1643,224853.64585270686
1644,226101.04679241165
1645,213238.02113985503
1646,154325.27426480182
1647,157603.02940735998
1648,126331.30725622439
1649,131608.73905413618
1650,112201.18693862195
1651,114710.22320364467
1652,99376.31215995643
1653,103169.4491963696
1654,140727.29317963458
1655,132060.4005779041
1656,135424.57574110437
1657,141535.5279421874
1658,144320.3957586974
1659,112251.42946678188
1660,151741.58753674742
1661,426606.23218486016
1662,380700.56790590327
1663,382923.7744723039
1664,478870.59401645575
1665,341194.80614663614
1666,330065.5007937368
1667,368112.1257541798
1668,358399.9790336087
1669,318182.53911076265
1670,364383.552761434
1671,257713.96341554675
1672,396579.73539484374
1673,284182.9715430136
1674,249832.4741920869
1675,201157.1882347955
1676,201505.0752369566
1677,213225.4775573637
1678,455081.37719074835
1679,384901.1803470723
1680,343693.3662282103
1681,294696.5946513951
1682,320209.7612527467
1683,197223.43215602887
1684,179203.62971391645
1685,179046.05097083328
1686,161970.0900764745
1687,182063.17928189563
1688,189630.34387575084
1689,198475.18328647746
1690,194695.3336465858
1691,184879.10593748296
1692,269142.3722463361
1693,181498.38911462435
1694,179884.93965561432
1695,168751.86582787122
1696,258560.37716418365
1697,176020.2435667063
1698,334706.0327648963
1699,319432.69671884796
1700,271524.3282097374
1701,288346.4546889649
1702,235771.785979699
1703,228098.48548461986
1704,253388.41140726887
1705,244000.97511467073
1706,417926.5688893574
1707,235371.78985687214
1708,199199.47832400803
1709,242801.33214043416
1710,213686.38657215098
1711,268701.3256828738
1712,245215.18619791628
1713,268348.6456640268
1714,222411.9181066875
1715,208472.6063233393
1716,181524.80897097115
1717,175899.10397985147
1718,147460.63855007844
1719,229906.4506953144
1720,236340.1042189055
1721,173409.388422664
1722,138145.92561816738
1723,159741.45414791454
1724,203375.1240634643
1725,226733.22797069518
1726,194122.72455839842
1727,152405.75007672393
1728,193245.89001080408
1729,155694.02899964617
1730,171108.58290922403
1731,128171.515778079
1732,125645.61621121435
1733,106450.42688799337
1734,116840.9947282611
1735,137696.02829111816
1736,106026.11296109272
1737,283849.22098700947
1738,259920.74057783472
1739,262236.3823795458
1740,209602.87958335658
1741,185023.48465365038
1742,177532.92164481382
1743,177063.58110369707
1744,323450.4047041068
1745,205153.6244210609
1746,239638.3333272625
1747,221320.05336036853
1748,242493.13338417636
1749,148687.84290518222
1750,140708.96561032016
1751,248075.38314273953
1752,113444.82758577017
1753,153685.19224073947
1754,202672.06562254493
1755,159492.8185341683
