PassengerId,Survived_pred,Prob_surv
892,0,0.1525362741920558
893,1,0.5769527897682563
894,0,0.14459100319420937
895,0,0.145970660895019
896,1,0.5491141606582866
897,0,0.16942046665208105
898,1,0.8543253629588754
899,0,0.16353816728025866
900,1,0.8218205651374274
901,0,0.1027306290876079
902,0,0.1466450995364335
903,0,0.15258044050896843
904,1,0.8875692841160963
905,0,0.13823082670561257
906,1,0.9046375377732938
907,1,0.9050911584913774
908,0,0.1381821892361919
909,0,0.17107236519625854
910,1,0.5483257635800688
911,1,0.7501847170445177
912,0,0.2128511881406046
913,1,0.5826588121884904
914,1,0.8843565700885475
915,0,0.2871877438522701
916,0,0.5
917,0,0.11517198068354581
918,1,0.9051075278910284
919,0,0.16505866330806815
920,0,0.1529114902703695
921,0,0.15250788808020488
922,0,0.1339282753884015
923,0,0.17192763215375378
924,0,0.4668279346493254
925,0,0.46712331669154045
926,0,0.1746327273226037
927,0,0.1844912582617808
928,1,0.6847010463560979
929,1,0.6576429352534847
930,0,0.1450697816512543
931,0,0.1707986024371743
932,0,0.15359040045124023
933,0,0.15247790639261483
934,0,0.1526947388288186
935,1,0.8739698079578804
936,1,0.9068053561511338
937,0,0.14497722480506256
938,0,0.15982736578057788
939,0,0.1511771714625528
940,1,0.8426273299423145
941,1,0.6847298940168575
942,0,0.18041260373085197
943,0,0.1434204001565926
944,1,0.7767777630488834
945,1,0.853244105011618
946,0,0.1421444456565828
947,0,0.12297776329761442
948,0,0.15258285662078774
949,0,0.1449657190730842
950,0,0.10556852084357696
951,1,0.8298391742453592
952,0,0.15566637852851056
953,0,0.1439231776137572
954,0,0.15252467581693388
955,1,0.8516601062182557
956,1,0.5169006881060209
957,1,0.8780024638872608
958,1,0.8446406242862
959,0,0.15209042129927056
960,0,0.15172702345394354
961,0,0.2591060929493432
962,1,0.8541097167423345
963,0,0.14661615912690568
964,1,0.6876626207440947
965,0,0.15442029334017854
966,1,0.8551020635085528
967,0,0.1989677190295126
968,0,0.14665859101944134
969,1,0.8319675687994541
970,0,0.14170683899219907
971,1,0.8541097167423345
972,1,0.7533254643711493
973,1,0.5164765958147787
974,0,0.15153186672656854
975,0,0.1466450995364335
976,0,0.1375600175161855
977,0,0.13644409691361814
978,1,0.8558699885874123
979,1,0.6450400578555112
980,1,0.8556727234747168
